Date,Headline,Source,URL,Company,Sentiment,Emotion,Predicted_Trend
3 minutes ago,Microsoft's Bing Image Creator can now use in-house MAI-Image-1 AI model,Business Standard,https://www.business-standard.com/technology/tech-news/microsoft-mai-image-1-in-house-ai-image-generator-bing-copilot-125110501003_1.html&ved=2ahUKEwj3ncmQ59qQAxWLEEQIHfy0KHsQxfQBegQIBhAC&usg=AOvVaw2iX06Y18R7GUmMZAgK7Lra,microsoft,Neutral,positive,Neutral
4 minutes ago,‘Do Not Download’—Update Warning Issued For Microsoft Windows Users,Forbes,https://www.forbes.com/sites/zakdoffman/2025/11/05/do-not-download-update-warning-issued-for-microsoft-windows-users/&ved=2ahUKEwj3ncmQ59qQAxWLEEQIHfy0KHsQxfQBegQIARAC&usg=AOvVaw1Swen8jZz3cYtItZWaLYo8,microsoft,Neutral,fear,Neutral
3 minutes ago,Microsoft's Bing Image Creator can now use in-house MAI-Image-1 AI model,Business Standard,https://www.business-standard.com/technology/tech-news/microsoft-mai-image-1-in-house-ai-image-generator-bing-copilot-125110501003_1.html&ved=2ahUKEwjGloSR59qQAxXzIUQIHVENCwAQxfQBegQIBxAC&usg=AOvVaw1Z35zAn4pPnL4SM4u3Uudu,microsoft,Neutral,positive,Neutral
4 minutes ago,‘Do Not Download’—Update Warning Issued For Microsoft Windows Users,Forbes,https://www.forbes.com/sites/zakdoffman/2025/11/05/do-not-download-update-warning-issued-for-microsoft-windows-users/&ved=2ahUKEwjGloSR59qQAxXzIUQIHVENCwAQxfQBegQICBAC&usg=AOvVaw25oPyzbaJ9BZwGXyDb2OVR,microsoft,Neutral,fear,Neutral
3 minutes ago,Microsoft's Bing Image Creator can now use in-house MAI-Image-1 AI model,Business Standard,https://www.business-standard.com/technology/tech-news/microsoft-mai-image-1-in-house-ai-image-generator-bing-copilot-125110501003_1.html&ved=2ahUKEwj3ncmQ59qQAxWLEEQIHfy0KHsQxfQBegQIBhAC&usg=AOvVaw2iX06Y18R7GUmMZAgK7Lra,microsoft,Neutral,positive,Neutral
4 minutes ago,‘Do Not Download’—Update Warning Issued For Microsoft Windows Users,Forbes,https://www.forbes.com/sites/zakdoffman/2025/11/05/do-not-download-update-warning-issued-for-microsoft-windows-users/&ved=2ahUKEwj3ncmQ59qQAxWLEEQIHfy0KHsQxfQBegQIARAC&usg=AOvVaw1Swen8jZz3cYtItZWaLYo8,microsoft,Neutral,fear,Neutral
3 minutes ago,Microsoft's Bing Image Creator can now use in-house MAI-Image-1 AI model,Business Standard,https://www.business-standard.com/technology/tech-news/microsoft-mai-image-1-in-house-ai-image-generator-bing-copilot-125110501003_1.html&ved=2ahUKEwjGloSR59qQAxXzIUQIHVENCwAQxfQBegQIBxAC&usg=AOvVaw1Z35zAn4pPnL4SM4u3Uudu,microsoft,Neutral,positive,Neutral
4 minutes ago,‘Do Not Download’—Update Warning Issued For Microsoft Windows Users,Forbes,https://www.forbes.com/sites/zakdoffman/2025/11/05/do-not-download-update-warning-issued-for-microsoft-windows-users/&ved=2ahUKEwjGloSR59qQAxXzIUQIHVENCwAQxfQBegQICBAC&usg=AOvVaw25oPyzbaJ9BZwGXyDb2OVR,microsoft,Neutral,fear,Neutral
3 minutes ago,Microsoft's Bing Image Creator can now use in-house MAI-Image-1 AI model,Business Standard,https://www.business-standard.com/technology/tech-news/microsoft-mai-image-1-in-house-ai-image-generator-bing-copilot-125110501003_1.html&ved=2ahUKEwjw7omS59qQAxXVPEQIHalmImoQxfQBegQIBBAC&usg=AOvVaw3hVFiQaXucdC3UBWpeJ7AK,microsoft,Neutral,positive,Neutral
4 minutes ago,‘Do Not Download’—Update Warning Issued For Microsoft Windows Users,Forbes,https://www.forbes.com/sites/zakdoffman/2025/11/05/do-not-download-update-warning-issued-for-microsoft-windows-users/&ved=2ahUKEwjw7omS59qQAxXVPEQIHalmImoQxfQBegQICRAC&usg=AOvVaw1e_L5rhS9eib5cflKVK1Dh,microsoft,Neutral,fear,Neutral
3 minutes ago,Microsoft's Bing Image Creator can now use in-house MAI-Image-1 AI model,Business Standard,https://www.business-standard.com/technology/tech-news/microsoft-mai-image-1-in-house-ai-image-generator-bing-copilot-125110501003_1.html&ved=2ahUKEwj3ncmQ59qQAxWLEEQIHfy0KHsQxfQBegQIBhAC&usg=AOvVaw2iX06Y18R7GUmMZAgK7Lra,microsoft,Neutral,positive,Neutral
4 minutes ago,‘Do Not Download’—Update Warning Issued For Microsoft Windows Users,Forbes,https://www.forbes.com/sites/zakdoffman/2025/11/05/do-not-download-update-warning-issued-for-microsoft-windows-users/&ved=2ahUKEwj3ncmQ59qQAxWLEEQIHfy0KHsQxfQBegQIARAC&usg=AOvVaw1Swen8jZz3cYtItZWaLYo8,microsoft,Neutral,fear,Neutral
3 minutes ago,Microsoft's Bing Image Creator can now use in-house MAI-Image-1 AI model,Business Standard,https://www.business-standard.com/technology/tech-news/microsoft-mai-image-1-in-house-ai-image-generator-bing-copilot-125110501003_1.html&ved=2ahUKEwjGloSR59qQAxXzIUQIHVENCwAQxfQBegQIBxAC&usg=AOvVaw1Z35zAn4pPnL4SM4u3Uudu,microsoft,Neutral,positive,Neutral
4 minutes ago,‘Do Not Download’—Update Warning Issued For Microsoft Windows Users,Forbes,https://www.forbes.com/sites/zakdoffman/2025/11/05/do-not-download-update-warning-issued-for-microsoft-windows-users/&ved=2ahUKEwjGloSR59qQAxXzIUQIHVENCwAQxfQBegQICBAC&usg=AOvVaw25oPyzbaJ9BZwGXyDb2OVR,microsoft,Neutral,fear,Neutral
3 minutes ago,Microsoft's Bing Image Creator can now use in-house MAI-Image-1 AI model,Business Standard,https://www.business-standard.com/technology/tech-news/microsoft-mai-image-1-in-house-ai-image-generator-bing-copilot-125110501003_1.html&ved=2ahUKEwjw7omS59qQAxXVPEQIHalmImoQxfQBegQIBBAC&usg=AOvVaw3hVFiQaXucdC3UBWpeJ7AK,microsoft,Neutral,positive,Neutral
4 minutes ago,‘Do Not Download’—Update Warning Issued For Microsoft Windows Users,Forbes,https://www.forbes.com/sites/zakdoffman/2025/11/05/do-not-download-update-warning-issued-for-microsoft-windows-users/&ved=2ahUKEwjw7omS59qQAxXVPEQIHalmImoQxfQBegQICRAC&usg=AOvVaw1e_L5rhS9eib5cflKVK1Dh,microsoft,Neutral,fear,Neutral
2 hours ago,"Microsoft to offer in-country data processing in India, Japan, Australia, UK by 2025 end",Moneycontrol,https://www.moneycontrol.com/technology/microsoft-to-offer-in-country-data-processing-in-india-japan-australia-uk-by-2025-end-article-13654382.html&ved=2ahUKEwjUxIeT59qQAxUAHkQIHWrVNss4ChDF9AF6BAgBEAI&usg=AOvVaw1Fjn9V5VHs34Ty3OChWi2t,microsoft,Neutral,positive,Neutral
